name,rating,card_type,position,nation,league,team,pace,shooting,passing,dribbling,defense,physicality
Erling Haaland,89,team-of-the-week,ST,Norway,Premier League,Manchester City,90,92,67,82,50,88
Phil Foden,89,ucl-road-to-the-knockouts,LW,England,Premier League,Manchester City,86,83,86,92,61,65
Antonio Rüdiger,89,ones-to-watch,CB,Germany,LaLiga Santander,Real Madrid,84,55,75,71,88,87
Matthijs de Ligt,89,ones-to-watch,CB,Netherlands,Bundesliga,FC Bayern München,81,64,67,75,89,91
Marquinhos,89,team-of-the-week,CB,Brazil,Ligue 1 Uber Eats,Paris SG,80,57,76,76,90,82
Luka Modrić,89,team-of-the-week,CM,Croatia,LaLiga Santander,Real Madrid,75,78,90,89,73,67
Michael Laudrup,89,icon,LW,Denmark,Icons,Icons,82,77,89,90,36,62
Didier Drogba,89,icon,ST,Ivory Coast,Icons,Icons,85,90,75,80,46,88
Hugo Sánchez,89,icon,ST,Mexico,Icons,Icons,90,88,78,89,41,70
Ferenc Puskás,89,icon,CF,Hungary,Icons,Icons,90,93,85,90,42,73
Eusébio,89,icon,CF,Portugal,Icons,Icons,95,91,82,90,43,78
Marco van Basten,89,icon,ST,Netherlands,Icons,Icons,83,91,72,86,35,76
David Trezeguet,89,icon,ST,France,Icons,Icons,82,90,68,80,43,76
Gerd Müller,89,icon,ST,Germany,Icons,Icons,89,90,72,85,40,75
Ian Rush,89,icon,ST,Wales,Icons,Icons,83,90,72,85,44,80
Johan Cruyff,89,icon,CF,Netherlands,Icons,Icons,92,87,85,92,40,70
Alan Shearer,89,icon,ST,England,Icons,Icons,84,90,75,78,48,84
Roberto Baggio,89,icon,CF,Italy,Icons,Icons,82,83,90,90,41,61
Miroslav Klose,89,icon,ST,Germany,Icons,Icons,83,87,75,81,42,78
Robin van Persie,89,icon,ST,Netherlands,Icons,Icons,83,92,85,88,44,75
Gary Lineker,89,icon,ST,England,Icons,Icons,89,90,70,84,38,74
Paul Scholes,89,icon,CM,England,Icons,Icons,71,86,89,81,64,80
Bastian Schweinsteiger,89,icon,CM,Germany,Icons,Icons,68,83,87,83,85,87
Michael Ballack,89,icon,CM,Germany,Icons,Icons,78,87,88,82,78,88
Gheorghe Hagi,89,icon,CAM,Romania,Icons,Icons,85,87,89,89,40,65
Sócrates,89,icon,CAM,Brazil,Icons,Icons,82,88,88,88,46,83
Juan Román Riquelme,89,icon,CAM,Argentina,Icons,Icons,68,83,91,92,32,67
Steven Gerrard,89,icon,CM,England,Icons,Icons,80,86,88,84,75,80
Ronaldinho,89,icon,CAM,Brazil,Icons,Icons,80,85,88,90,38,77
Pavel Nedvěd,89,icon,LM,Czech Republic,Icons,Icons,88,86,88,88,52,80
Xabi Alonso,89,icon,CDM,Spain,Icons,Icons,72,77,87,79,84,82
Philipp Lahm,89,icon,CDM,Germany,Icons,Icons,82,70,88,85,90,70
Kaká,89,icon,CAM,Brazil,Icons,Icons,85,82,87,90,43,70
David Beckham,89,icon,RM,England,Icons,Icons,80,85,92,86,68,80
Fabio Cannavaro,89,icon,CB,Italy,Icons,Icons,76,44,62,67,92,82
Laurent Blanc,89,icon,CB,France,Icons,Icons,79,68,70,79,90,85
Bobby Moore,89,icon,CB,England,Icons,Icons,66,60,81,75,91,83
Fernando Hierro,89,icon,CB,Spain,Icons,Icons,71,66,75,70,90,84
Harry Kane,89,rare,ST,England,Premier League,Spurs,68,91,83,82,47,82
Heung Min Son,89,rare,LW,Korea Republic,Premier League,Spurs,88,89,82,86,42,69
Neymar Jr,89,rare,LW,Brazil,Ligue 1 Uber Eats,Paris SG,87,83,85,93,37,61
Joshua Kimmich,89,rare,CDM,Germany,Bundesliga,FC Bayern München,68,72,87,84,83,79
N'Golo Kanté,89,rare,CDM,France,Premier League,Chelsea,72,66,74,81,87,82
Sadio Mané,89,rare,LM,Senegal,Bundesliga,FC Bayern München,90,83,80,88,44,77
Casemiro,89,rare,CDM,Brazil,Premier League,Manchester Utd,63,73,75,72,87,90
Ahmet Arslan,88,team-of-the-season,CM,Germany,Bundesliga 2,Dynamo Dresden,88,86,89,92,80,82
Erik,88,team-of-the-season,LB,Brazil,United Emirates League,Al Ain FC,94,70,82,88,85,87
Francesco Acerbi,88,domestic-man-of-the-match,CB,Italy,Serie A TIM,Inter,70,56,71,71,91,88
Abdülkerim Bardakcı,88,team-of-the-season,CB,Turkey,Süper Lig,Galatasaray,80,46,74,78,91,93
Joe Cole,88,world-cup-hero,LM,England,Premier League,HERO,90,86,87,91,52,72
Ahmed Hegazi,88,team-of-the-season,CB,Egypt,Rest of World,Al Ittihad,82,32,62,67,90,96
Carl Piergianni,88,team-of-the-season,CB,England,EFL League Two,Stevenage,80,46,68,71,88,93
Sam Hoskins,88,team-of-the-season,LM,England,EFL League Two,Northampton,92,83,88,89,74,90
Nicolò Barella,88,uefa-champions-league-motm,CM,Italy,Serie A TIM,Inter,81,80,85,87,80,83
Cameron Carter-Vickers,88,team-of-the-season-moments,CB,United States,cinch Premiership,Celtic,86,40,69,77,86,89
Joey Veerman,88,team-of-the-season,CM,Netherlands,Eredivisie,PSV,81,82,91,88,80,85
Ramy Bensebaini,88,team-of-the-season-moments,LB,Algeria,Bundesliga,M'gladbach,86,74,86,88,88,88
Dávid Hancko,88,team-of-the-season,CB,Slovakia,Eredivisie,Feyenoord,85,75,84,83,88,90
Morata,88,team-of-the-season,ST,Spain,LaLiga Santander,Atlético de Madrid,88,90,80,87,41,87
Lucas Paquetá,88,team-of-the-week,CM,Brazil,Premier League,West Ham,81,86,87,91,77,85
Eduardo Camavinga,88,team-of-the-week,LB,France,LaLiga Santander,Real Madrid,88,76,88,90,85,87
Carlos Vela,88,team-of-the-week,RW,Mexico,Major League Soccer,LAFC,86,88,85,90,37,73
Michael Owen,88,special-item,ST,England,Icons,Icons,91,88,68,87,32,66
Michael Olise,88,team-of-the-week,RW,France,Premier League,Crystal Palace,92,82,89,91,62,65
Sergej Milinković-Savić,88,team-of-the-week,CM,Serbia,Serie A TIM,Latium,71,84,84,84,81,89
Gonçalo Guedes,88,uefa-champions-league-road-to-the-final,ST,Portugal,Premier League,SL Benfica,93,90,81,89,44,77
Alessandro Del Piero,88,special-item,CF,Italy,Icons,Icons,87,89,84,90,41,70
Kieran Trippier,88,team-of-the-week,RB,England,Premier League,Newcastle Utd,76,68,87,83,84,78
Facundo Medina,88,team-of-the-week,CB,Argentina,Ligue 1 Uber Eats,RC Lens,85,46,73,82,88,88
Leroy Sané,88,team-of-the-week,RM,Germany,Bundesliga,FC Bayern München,92,87,85,89,43,72
Georginio Wijnaldum,88,team-of-the-week,CDM,Netherlands,Serie A TIM,Roma FC,80,81,86,88,85,86
Rafael Leão,88,team-of-the-week,LW,Portugal,Serie A TIM,Milan,94,83,79,90,31,80
Roque Santa Cruz,88,squad-foundations,ST,Paraguay,CONMEBOL Libertadores,Libertad,91,92,82,88,53,90
Pedro,88,fut-birthday,LW,Spain,Serie A TIM,Latium,90,85,86,92,41,63
Adrien Rabiot,88,fut-birthday,CM,France,Serie A TIM,Juventus,84,83,86,89,85,87
Mattéo Guendouzi,88,fut-birthday,CM,France,Ligue 1 Uber Eats,OM,83,82,87,84,86,89
Mattéo Guendouzi,88,fut-birthday,CM,France,Ligue 1 Uber Eats,OM,83,82,87,84,86,89
Kai Havertz,88,uefa-champions-league-motm,ST,Germany,Premier League,Chelsea,86,86,85,89,53,81
Edmond Tapsoba,88,uefa-europa-league-motm,CB,Burkina Faso,Bundesliga,Leverkusen,80,61,74,78,90,87
Antony,88,fut-birthday,RW,Brazil,Premier League,Manchester Utd,97,82,84,90,45,77
Khvicha Kvaratskhelia,88,potm-serie-a,LW,Georgia,Serie A TIM,Napoli,92,82,85,90,52,80
Bukayo Saka,88,potm-premier-league,RW,England,Premier League,Arsenal,91,84,85,89,70,72
Koke,88,fut-birthday,CM,Spain,LaLiga Santander,Atlético de Madrid,80,81,90,85,83,84
Koke,88,fut-birthday,CM,Spain,LaLiga Santander,Atlético de Madrid,80,81,90,85,83,84
Joselu,88,fut-birthday,ST,Spain,LaLiga Santander,RCD Espanyol,88,89,88,88,40,85
Emerson Royal,88,fut-birthday,RWB,Brazil,Premier League,Spurs,90,72,82,85,86,88
Frenkie de Jong,88,team-of-the-week,CM,Netherlands,LaLiga Santander,FC Barcelona,84,70,87,88,78,80
Douglas Luiz,88,team-of-the-week,CDM,Brazil,Premier League,Aston Villa,80,77,88,87,85,81
Viktor Tsygankov,88,team-of-the-week,RM,Ukraine,LaLiga Santander,Girona FC,93,84,86,88,54,69
Victor Osimhen,88,team-of-the-week,ST,Nigeria,Serie A TIM,Napoli,95,88,73,85,46,86
Jack Grealish,88,vfua1,CAM,England,Premier League,Manchester City,86,83,87,89,48,75
Dejan Kulusevski,88,vfua1,RW,Sweden,Premier League,Spurs,88,85,86,94,62,83
Patrick Bamford,88,vfua1,ST,England,Premier League,Leeds United,90,86,80,99,50,81
Luis Díaz,88,vfua1,LW,Colombia,Premier League,Liverpool,93,86,81,92,37,80
Scott McTominay,88,storyline,CDM,Scotland,Premier League,Manchester Utd,81,83,82,84,86,93
Nacho Fernández,88,storyline,CB,Spain,LaLiga Santander,Real Madrid,83,43,75,77,89,88
Kevin Lasagna,88,storyline,ST,Italy,Serie A TIM,Hellas Verona,93,86,80,88,52,75
Domenico Berardi,88,team-of-the-week,RM,Italy,Serie A TIM,Sassuolo,88,87,85,90,41,76
Jonathan David,88,team-of-the-week,ST,Canada,Ligue 1 Uber Eats,LOSC Lille,91,89,81,88,43,81
Riqui Puig,88,fantasy-fut,CM,Spain,Major League Soccer,LA Galaxy,85,77,87,94,79,78
Dante,88,out-of-position,ST,Brazil,Ligue 1 Uber Eats,OGC Nice,88,91,82,84,74,89
Emre Can,88,fantasy-fut,CM,Germany,Bundesliga,Borussia Dortmund,86,84,84,87,89,93
Ömer Toprak,88,fantasy-fut,CB,Turkey,Süper Lig,Antalyaspor,81,50,73,79,91,90
Christian Benteke,88,fantasy-fut,ST,Belgium,Major League Soccer,D.C. United,87,92,79,87,45,92
Marcus Rashford,88,potm-premier-league,LW,England,Premier League,Manchester Utd,93,88,84,87,49,82
Antoine Griezmann,88,team-of-the-week,ST,France,LaLiga Santander,Atlético de Madrid,87,88,88,91,58,80
Samuel Umtiti,88,fantasy-fut,CB,France,Serie A TIM,Lecce,81,71,77,76,88,88
Amath Ndiaye,88,fantasy-fut,LM,Senegal,LaLiga Santander,RCD Mallorca,96,83,82,90,64,81
Steven Berghuis,88,potm-eredivisie,CAM,Netherlands,Eredivisie,Ajax,87,88,89,88,47,77
Wout Weghorst,88,showdown,ST,Netherlands,Süper Lig,Beşiktaş,87,90,80,87,60,94
Thomas Müller,88,team-of-the-week,CAM,Germany,Bundesliga,FC Bayern München,70,86,84,82,57,72
João Cancelo,88,rare,LB,Portugal,Bundesliga,FC Bayern München,85,73,85,85,81,73
Dani Ceballos,88,showdown-plus,CM,Spain,LaLiga Santander,Real Madrid,84,84,88,90,80,82
Nahuel Molina,88,showdown-plus,RWB,Argentina,LaLiga Santander,Atlético de Madrid,92,76,82,86,85,85
Ciro Immobile,88,team-of-the-week,ST,Italy,Serie A TIM,Latium,87,89,71,83,41,79
Bruno Fernandes,88,team-of-the-week,RM,Portugal,Premier League,Manchester Utd,76,88,90,84,70,79
Miranda,88,uefa-europa-league-road-to-the-final,LB,Spain,LaLiga Santander,Real Betis,91,71,84,88,88,84
Ferran Torres,88,uefa-europa-league-road-to-the-final,LW,Spain,LaLiga Santander,FC Barcelona,90,86,86,90,40,75
Lucas Moura,88,uefa-champions-league-road-to-the-final,RW,Brazil,Premier League,Spurs,94,85,80,91,56,76
Mario Balotelli,88,flashback-player-sbc,ST,Italy,Credit Suisse Super League,FC Sion,90,88,80,85,38,91
Julian Brandt,88,potm-bundesliga,RM,Germany,Bundesliga,Borussia Dortmund,77,85,88,91,54,73
Dušan Vlahović,88,team-of-the-week,ST,Serbia,Serie A TIM,Juventus,85,89,72,83,32,84
Giovanni Di Lorenzo,88,team-of-the-week,RB,Italy,Serie A TIM,Napoli,90,73,80,83,84,86
Rodri,88,team-of-the-week,CDM,Spain,Premier League,Manchester City,60,73,80,80,84,85
Vincenzo Grifo,88,team-of-the-week,LM,Italy,Bundesliga,SC Freiburg,83,84,88,89,48,72
Wissam Ben Yedder,88,team-of-the-week,ST,France,Ligue 1 Uber Eats,AS Monaco,86,88,83,92,43,74
Nuno Tavares,88,fut-future-stars,LB,Portugal,Ligue 1 Uber Eats,OM,92,70,80,88,80,85
Chris Smalling,88,flashback-player-sbc,CB,England,Serie A TIM,Roma FC,84,54,65,68,87,89
Stevan Jovetić,88,player-moments,ST,Montenegro,Bundesliga,Hertha Berlin,90,88,83,90,41,78
Nicolò Rovella,88,fut-future-stars,CM,Italy,Serie A TIM,AC Monza,83,82,85,84,90,82
Sébastien Haller,88,player-moments,ST,Ivory Coast,Bundesliga,Borussia Dortmund,84,88,79,84,58,99
Victor Osimhen,88,potm-serie-a,ST,Nigeria,Serie A TIM,Napoli,95,88,73,84,47,86
Jacob Ramsey,88,fut-future-stars,CM,England,Premier League,Aston Villa,85,81,86,88,80,85
Nicolò Fagioli,88,fut-future-stars,CM,Italy,Serie A TIM,Juventus,86,77,88,90,80,76
Fábio Carvalho,88,fut-future-stars,CAM,Portugal,Premier League,Liverpool,89,83,82,90,60,73
Carlos Vela,88,player-moments,LW,Mexico,Major League Soccer,LAFC,92,86,85,91,37,75
Quinten Timber,88,fut-future-stars,CB,Netherlands,Eredivisie,Feyenoord,87,67,80,85,84,92
Quinten Timber,88,fut-future-stars,CDM,Netherlands,Eredivisie,Feyenoord,90,70,84,88,81,90
Kingsley Coman,88,team-of-the-week,LM,France,Bundesliga,FC Bayern München,94,80,82,89,32,66
Raphinha,88,team-of-the-week,RW,Brazil,LaLiga Santander,FC Barcelona,95,84,83,89,57,80
Tammy Abraham,88,team-of-the-week,ST,England,Serie A TIM,Roma FC,90,88,73,86,42,86
Vanderson,88,fut-future-stars,RW,Brazil,Ligue 1 Uber Eats,AS Monaco,92,84,86,88,70,77
Vanderson,88,fut-future-stars,RB,Brazil,Ligue 1 Uber Eats,AS Monaco,91,70,80,77,84,88
Anthony Elanga,88,fut-future-stars,RW,Sweden,Premier League,Manchester Utd,92,85,84,88,43,68
Mohammed Kudus,88,fut-future-stars,CAM,Ghana,Eredivisie,Ajax,93,81,84,88,75,85
Marc Guéhi,88,fut-future-stars,CB,England,Premier League,Crystal Palace,82,44,71,79,89,85
Jesper Lindstrøm,88,fut-future-stars,CAM,Denmark,Bundesliga,Frankfurt,94,84,83,88,62,78
Alexander Sørloth,88,potm-laliga-santander,ST,Norway,LaLiga Santander,Real Sociedad,92,87,83,87,46,94
Seko Fofana,88,toty-honourable-mentions,CM,Ivory Coast,Ligue 1 Uber Eats,RC Lens,84,78,82,86,84,91
Jonas Hofmann,88,team-of-the-week,CAM,Germany,Bundesliga,M'gladbach,83,85,87,88,72,82
Stephy Mavididi,88,team-of-the-week,LM,England,Ligue 1 Uber Eats,Montpellier,95,87,81,88,40,80
Dani Olmo,88,team-of-the-week,CAM,Spain,Bundesliga,RB Leipzig,77,85,88,92,60,70
Lautaro Martínez,88,team-of-the-week,ST,Argentina,Serie A TIM,Inter,85,87,75,88,50,86
Jorginho,88,flashback-player-sbc,CM,Italy,Premier League,Arsenal,83,76,92,88,84,84
Coutinho,88,player-moments,CAM,Brazil,Premier League,Aston Villa,80,85,86,91,56,65
Rafael Santos Borré,88,player-moments,ST,Colombia,Bundesliga,Frankfurt,87,87,84,89,60,86
Alphonso Davies,88,toty-honourable-mentions,LB,Canada,Bundesliga,FC Bayern München,97,70,84,88,80,82
Nabil Fekir,88,toty-honourable-mentions,CAM,France,LaLiga Santander,Real Betis,87,87,88,87,41,85
Nicolás Otamendi,88,toty-honourable-mentions,CB,Argentina,Liga Portugal,SL Benfica,80,63,70,69,90,87
Matthijs de Ligt,88,team-of-the-week,CB,Netherlands,Bundesliga,FC Bayern München,80,62,65,73,88,90
Ivan Rakitić,88,team-of-the-week,CF,Croatia,LaLiga Santander,Sevilla FC,76,84,90,82,80,72
Riyad Mahrez,88,team-of-the-week,RM,Algeria,Premier League,Manchester City,84,85,84,92,40,64
Stephan El Shaarawy,88,team-of-the-week,CF,Italy,Serie A TIM,Roma FC,93,84,84,88,57,77
İlkay Gündoğan,88,player-moments,CM,Germany,Premier League,Manchester City,78,84,88,88,78,78
Edin Džeko,88,domestic-man-of-the-match,ST,Bosnia Herzegovina,Serie A TIM,Inter,71,88,75,83,49,80
Paulo Dybala,88,team-of-the-week,CF,Argentina,Serie A TIM,Roma FC,83,87,87,92,42,64
Thiago Silva,88,team-of-the-week,CB,Brazil,Premier League,Chelsea,53,56,75,74,89,80
Henrikh Mkhitaryan,88,showdown-plus,CAM,Armenia,Serie A TIM,Inter,89,86,86,90,63,80
Fred,88,fut-centurions,CM,Brazil,Premier League,Manchester Utd,85,76,86,90,83,80
Parejo,88,team-of-the-week,CM,Spain,LaLiga Santander,Villarreal CF,54,85,92,83,73,71
Martin Terrier,88,fut-centurions,LW,France,Ligue 1 Uber Eats,Stade Rennais FC,93,88,84,86,43,80
Jordi Alba,88,fut-centurions,LB,Spain,LaLiga Santander,FC Barcelona,87,73,85,85,80,76
Jamie Vardy,88,fut-centurions,ST,England,Premier League,Leicester City,88,88,76,83,55,75
Matteo Politano,88,winter-wildcards,ST,Italy,Serie A TIM,Napoli,92,86,85,91,49,62
Martin Ødegaard,88,team-of-the-week,CM,Norway,Premier League,Arsenal,85,82,90,88,62,67
Raphaël Varane,88,winter-wildcards,CB,France,Premier League,Manchester Utd,85,53,68,72,89,85
Fikayo Tomori,88,winter-wildcards,CB,England,Serie A TIM,Milan,88,45,65,71,88,85
Cody Gakpo,88,world-cup-team-of-the-tournament,ST,Netherlands,Eredivisie,PSV,91,88,84,90,46,82
Diogo Dalot,88,world-cup-team-of-the-tournament,RB,Portugal,Premier League,Manchester Utd,89,73,85,88,85,87
Diogo Dalot,88,world-cup-team-of-the-tournament,RB,Portugal,Premier League,Manchester Utd,89,73,85,88,85,87
Thiago Silva,88,world-cup-team-of-the-tournament,CB,Brazil,Premier League,Chelsea,77,56,77,76,90,83
Dušan Vlahović,88,world-cup-phenoms,ST,Serbia,Serie A TIM,Juventus,86,90,73,88,32,85
Youri Tielemans,88,world-cup-phenoms,CDM,Belgium,Premier League,Leicester City,73,83,89,84,82,78
Davor Šuker,88,world-cup-icon,ST,Croatia,Icons,Icons,86,91,81,90,44,76
Éder Militão,88,world-cup-phenoms,CB,Brazil,LaLiga Santander,Real Madrid,87,52,75,76,88,86
Bukayo Saka,88,world-cup-phenoms,RM,England,Premier League,Arsenal,91,83,83,88,68,75
Richarlison,88,world-cup-stories,ST,Brazil,Premier League,Spurs,89,87,80,88,61,86
Leroy Sané,88,world-cup-stories,CAM,Germany,Bundesliga,FC Bayern München,92,87,85,89,42,72
Edinson Cavani,88,world-cup-stories,ST,Uruguay,World Cup,Uruguay,87,90,75,88,58,83
Dani Alves,88,world-cup-stories,RB,Brazil,World Cup,Brazil,90,78,89,86,85,82
Marcus Rashford,88,world-cup-stories,LW,England,Premier League,Manchester Utd,92,87,82,86,50,81
Luis Hernández,88,world-cup-icon,ST,Mexico,Icons,Icons,92,88,73,88,48,69
Gianluca Zambrotta,88,world-cup-icon,RB,Italy,Icons,Icons,89,71,83,83,87,86
Sergio Busquets,88,road-to-world-cup,CDM,Spain,LaLiga Santander,FC Barcelona,77,80,86,87,88,83
Georginio Wijnaldum,88,road-to-world-cup,CM,Netherlands,Serie A TIM,Roma FC,78,80,85,88,85,86
Gonzalo Higuaín,88,premium-squad-building-challenge,ST,Argentina,Major League Soccer,Inter Miami CF,87,89,80,85,34,82
Sofiane Boufal,88,world-cup-path-to-glory,CF,Morocco,Ligue 1 Uber Eats,Angers SCO,90,84,87,95,41,70
Christian Pulisic,88,world-cup-path-to-glory,LW,United States,Premier League,Chelsea,93,82,83,92,43,65
João Cancelo,88,world-cup-player,LB,Portugal,World Cup,Portugal,85,73,85,85,81,73
Rúben Dias,88,world-cup-player,CB,Portugal,World Cup,Portugal,63,39,66,68,88,88
Robbie Keane,88,world-cup-hero,ST,Republic of Ireland,Premier League,HERO,90,91,78,91,47,79
Claudio Marchisio,88,world-cup-hero,CM,Italy,Serie A TIM,HERO,83,84,86,87,81,83
Hidetoshi Nakata,88,world-cup-hero,CAM,Japan,Serie A TIM,HERO,87,86,86,87,63,67
Landon Donovan,88,world-cup-hero,RM,United States,Major League Soccer,HERO,92,90,83,87,48,73
Włodzimierz Smolarek,88,world-cup-hero,ST,Poland,PKO Bank Polski Ekstraklasa,HERO,94,90,82,92,43,85
Marquinhos,88,world-cup-player,CB,Brazil,World Cup,Brazil,79,56,75,74,89,80
Eden Hazard,88,world-cup-star,LW,Belgium,LaLiga Santander,Real Madrid,88,84,86,90,40,75
Luka Modrić,88,world-cup-player,CM,Croatia,World Cup,Croatia,73,76,89,88,72,66
Capdevila,88,world-cup-hero,LB,Spain,LaLiga Santander,HERO,90,78,83,82,87,82
Filip Kostić,88,world-cup-star,LM,Serbia,Serie A TIM,Juventus,90,83,87,86,75,85
Saeed Al Owairan,88,world-cup-hero,CAM,Saudi Arabia,MBS Pro League,HERO,99,86,83,92,38,76
Dirk Kuyt,88,world-cup-hero,RM,Netherlands,Premier League,HERO,87,90,84,86,72,84
Freddie Ljungberg,88,world-cup-hero,LM,Sweden,Premier League,HERO,90,85,84,88,47,80
Harry Kewell,88,world-cup-hero,CF,Australia,Premier League,HERO,91,87,89,89,53,71
Bernardo Silva,88,world-cup-player,CAM,Portugal,World Cup,Portugal,77,78,84,92,61,68
Mason Mount,88,world-cup-star,CAM,England,Premier League,Chelsea,85,87,89,86,60,77
Carvajal,88,world-cup-path-to-glory,RB,Spain,LaLiga Santander,Real Madrid,89,58,84,84,83,84
Arkadiusz Milik,88,world-cup-path-to-glory,ST,Poland,Serie A TIM,Juventus,88,88,77,84,42,82
Romelu Lukaku,88,world-cup-path-to-glory,ST,Belgium,Serie A TIM,Inter,87,88,78,83,40,86
David Alaba,88,rulebreakers,CB,Austria,LaLiga Santander,Real Madrid,81,66,85,83,87,87
Edin Džeko,88,rulebreakers,ST,Bosnia Herzegovina,Serie A TIM,Inter,89,88,68,83,48,82
Reece James,88,out-of-position,RW,England,Premier League,Chelsea,88,85,86,86,58,85
Theo Hernández,88,out-of-position,LW,France,Serie A TIM,Milan,95,82,81,85,65,85
Kai Havertz,88,rulebreakers,CAM,Germany,Premier League,Chelsea,88,86,77,89,49,84
David Alaba,88,rulebreakers,CB,Austria,LaLiga Santander,Real Madrid,81,66,85,83,91,81
Federico Valverde,88,ucl-road-to-the-knockouts,CM,Uruguay,LaLiga Santander,Real Madrid,91,79,85,84,84,85
Gabriel Jesus,88,ones-to-watch,ST,Brazil,Premier League,Arsenal,89,87,82,91,46,82
Diego Forlán,88,fut-heroes,ST,Uruguay,LaLiga Santander,HERO,86,90,79,85,55,76
Antonio Di Natale,88,fut-heroes,ST,Italy,Serie A TIM,HERO,90,91,85,90,46,70
Diego Milito,88,fut-heroes,ST,Argentina,Serie A TIM,HERO,83,89,75,84,43,80
Jay-Jay Okocha,88,fut-heroes,CAM,Nigeria,Premier League,HERO,87,83,83,93,40,60
Ricardo Carvalho,88,fut-heroes,CB,Portugal,Liga Portugal,HERO,77,56,71,73,91,82
Rafael Márquez,88,fut-heroes,CB,Mexico,LaLiga Santander,HERO,74,65,75,74,90,88
Javier Mascherano,88,fut-heroes,CB,Argentina,LaLiga Santander,HERO,76,55,76,75,89,86
Mario Gomez,88,fut-heroes,ST,Germany,Bundesliga,HERO,83,90,73,82,43,83
Niklas Süle,88,ucl-road-to-the-knockouts,CB,Germany,Bundesliga,Borussia Dortmund,76,51,70,64,89,86
Raheem Sterling,88,ones-to-watch,LW,England,Premier League,Chelsea,92,83,82,88,47,70
Martin Ødegaard,88,uel-road-to-the-knockouts,CAM,Norway,Premier League,Arsenal,84,82,90,88,62,67
Ángel Di María,88,ones-to-watch,RW,Argentina,Serie A TIM,Juventus,85,85,88,91,52,74
Andriy Shevchenko,88,icon,ST,Ukraine,Icons,Icons,84,89,73,85,35,75
Eric Cantona,88,icon,CF,France,Icons,Icons,87,88,87,90,50,90
Patrick Kluivert,88,icon,ST,Netherlands,Icons,Icons,86,84,79,82,39,81
Wayne Rooney,88,icon,CF,England,Icons,Icons,90,90,81,87,50,86
Fernando Torres,88,icon,ST,Spain,Icons,Icons,91,87,73,86,43,75
Raúl,88,icon,CF,Spain,Icons,Icons,86,86,78,88,45,72
Christian Vieri,88,icon,ST,Italy,Icons,Icons,82,88,70,80,41,84
Jairzinho,88,icon,RW,Brazil,Icons,Icons,91,88,84,90,47,74
George Best,88,icon,RW,Northern Ireland,Icons,Icons,91,88,81,92,59,70
Michael Owen,88,icon,ST,England,Icons,Icons,91,86,66,87,31,62
Frank Lampard,88,icon,CM,England,Icons,Icons,66,88,87,83,70,76
Xavi,88,icon,CM,Spain,Icons,Icons,81,75,89,88,63,64
Luís Figo,88,icon,CAM,Portugal,Icons,Icons,88,84,87,88,42,77
Juan Sebastián Verón,88,icon,CM,Argentina,Icons,Icons,74,83,88,83,75,82
Rui Costa,88,icon,CAM,Portugal,Icons,Icons,82,80,87,86,47,76
Patrick Vieira,88,icon,CM,France,Icons,Icons,85,75,80,84,86,89
Robert Pirès,88,icon,LM,France,Icons,Icons,88,80,86,86,40,62
Andrea Pirlo,88,icon,CM,Italy,Icons,Icons,70,79,91,90,66,64
Clarence Seedorf,88,icon,CM,Netherlands,Icons,Icons,82,85,87,86,70,85
Jari Litmanen,88,icon,CAM,Finland,Icons,Icons,83,89,81,83,33,64
Marcel Desailly,88,icon,CDM,France,Icons,Icons,83,54,69,67,88,88
Roy Keane,88,icon,CM,Republic of Ireland,Icons,Icons,74,72,84,78,85,88
Emmanuel Petit,88,icon,CDM,France,Icons,Icons,75,77,81,77,86,88
Javier Zanetti,88,icon,RB,Argentina,Icons,Icons,83,61,85,82,87,80
Paolo Maldini,88,icon,LB,Italy,Icons,Icons,87,54,73,65,90,78
Frank Rijkaard,88,icon,CB,Netherlands,Icons,Icons,78,73,79,78,88,85
Alessandro Nesta,88,icon,CB,Italy,Icons,Icons,70,40,63,65,90,85
Lothar Matthäus,88,icon,CB,Germany,Icons,Icons,82,82,87,77,90,80
Franco Baresi,88,icon,CB,Italy,Icons,Icons,71,47,70,72,89,82
Ronald Koeman,88,icon,CB,Netherlands,Icons,Icons,77,86,86,79,87,83
Cafu,88,icon,RB,Brazil,Icons,Icons,89,55,82,85,86,83
Nemanja Vidić,88,icon,CB,Serbia,Icons,Icons,70,46,60,61,91,88
Roberto Carlos,88,icon,LB,Brazil,Icons,Icons,90,81,86,79,83,85
Rio Ferdinand,88,icon,CB,England,Icons,Icons,80,48,65,64,89,82
Bernardo Silva,88,rare,CAM,Portugal,Premier League,Manchester City,77,78,84,92,61,68
Luka Modrić,88,rare,CM,Croatia,LaLiga Santander,Real Madrid,73,76,89,88,72,66
João Cancelo,88,rare,LB,Portugal,Premier League,Manchester City,85,73,85,85,81,73
Rúben Dias,88,rare,CB,Portugal,Premier League,Manchester City,63,39,66,68,88,88
Toni Kroos,88,rare,CM,Germany,LaLiga Santander,Real Madrid,53,81,90,81,71,68
Erling Haaland,88,rare,ST,Norway,Premier League,Manchester City,89,91,65,80,49,87
Marquinhos,88,rare,CB,Brazil,Ligue 1 Uber Eats,Paris SG,79,56,75,74,89,80
Sami Al Jaber,87,world-cup-hero,ST,Saudi Arabia,MBS Pro League,HERO,90,87,76,85,45,72
